account_id,account_manager,company_type,sub_team_id,geography,industry,sub_industry
A-0035457,beasohe,A,52,central,Construction,Building Materials
A-0373514,ladt,D,52,central,Other,Other
A-0376029,tisch,A,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0413771,edcu,D,64,central,Resources (Processed),Plastics & Rubber
A-0422157,alnbulca,D,60,central,Retail & Consumer Goods,Furniture & Furnishings
A-0423657,donmar,D,61,central,Retail & Consumer Goods,Furniture & Furnishings
A-0426629,maveitn,C,60,central,Food & Beverage,Food - Perishables & Fresh
A-0428457,lunig,C,52,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0429057,jaleiho,C,66,central,Construction,Building Materials
A-0442600,feacoo,C,54,west,Retail & Consumer Goods,Furniture & Furnishings
A-0446300,lunig,B,52,central,Retail & Consumer Goods,Cosmetics & Personal care
A-0455971,lunig,C,52,central,Other,Other
A-0457171,an-raäm,A,54,west,Apparel,Textiles
A-0461029,an-raäm,C,54,west,Technology,Electronic devices
A-0464629,leaborsk,D,55,south,Logistics,Other Logistics
A-0466586,toeumrh,D,60,central,Chemicals,Chemicals
A-0058000,lunig,A,52,central,Other,Other
A-0061314,lehae,A,52,central,Other,Other
A-0062386,,E,48,central,Other,Other
A-0077029,lehae,A,52,central,Industrial & Engineering,Electrical Engineering
A-0078214,beasohe,A,52,central,Other,Others
A-0094071,beasohe,A,52,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0098143,lehae,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0098600,lehae,A,59,central,Other,Other
A-0111571,lehae,A,52,central,Other,Other
A-0134443,beasohe,E,52,central,Other,Other
A-0139871,lehae,A,52,central,Other,Other
A-0169443,beasohe,A,52,central,Other,Other
A-0185629,lehae,C,52,central,Industrial & Engineering,Agricultural Machinery
A-0256843,lehae,A,59,central,Other,Other
A-0272429,mahkaos,D,59,central,Apparel,Apparel - General
A-0030657,mamange,B,56,central,Retail & Consumer Goods,Pet care
A-0312057,lunig,C,52,central,Resources (Processed),Metals
A-0032657,lunig,C,52,central,Other,Other
A-0033843,beasohe,A,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0349871,söneck,D,64,central,Industrial & Engineering,Utilities & Waste Management
A-0376629,beasohe,A,52,central,Other,Other
A-0376914,lehae,C,52,central,Other,Other
A-0039243,lunig,A,52,central,Other,Other
A-0399643,lehae,C,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0408143,liromm,D,64,central,Automotive,Automotive - Components & Spare parts
A-0414729,beasohe,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0417886,reerlzk,B,56,central,Apparel,Apparel - General
A-0427357,errma,D,60,central,Retail & Consumer Goods,Furniture & Furnishings
A-0439271,donmar,C,61,central,Retail & Consumer Goods,Furniture & Furnishings
A-0440514,mahkaos,D,59,central,Technology,Electronic devices
A-0441614,tarwenr,D,48,central,Retail & Consumer Goods,Furniture & Furnishings
A-0443043,paortre,A,54,west,Apparel,Apparel - General
A-0443657,daechete,B,57,central,Retail & Consumer Goods,DIY & Garden
A-0445243,alsraźn,B,70,east,Food & Beverage,Food - Perishables & Fresh
A-0455200,paortre,A,54,west,Construction,Construction Services
A-0458414,prcavd,D,69,central,Logistics,Freight Forwarding
A-0470229,leaborsk,D,55,south,Logistics,Freight Forwarding
A-0474657,lunig,E,52,central,Other,Other
A-0047686,beasohe,A,52,central,Other,Other
A-0477857,staleie,D,60,central,Construction,Building Materials
A-0478257,peruon,A,59,central,Healthcare,Healthcare - Supplies
A-0047857,beasohe,A,52,central,Other,Other
A-0492900,juypruyń,C,70,east,Industrial & Engineering,Industrial Machinery & Equipment
A-0063043,lehae,A,52,central,Other,Other
A-0069371,nonvanr,D,60,central,Retail & Consumer Goods,Cosmetics & Personal care
A-0071586,beasohe,A,52,central,Other,Other
A-0101229,pifman,E,52,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0112671,beasohe,A,52,central,Other,Other
A-0134486,lunig,C,52,central,Other,Other
A-0143514,jaleiho,D,66,central,Construction,Building Materials
A-0144057,tisch,D,52,central,Industrial & Engineering,Agricultural Machinery
A-0153700,lunig,A,52,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0154343,conhma,C,52,central,Food & Beverage,Food - Perishables & Fresh
A-0168614,beasohe,A,52,central,Other,Other
A-0169614,niachöof,E,48,central,Other,Other
A-0175943,maeaßmh,E,52,central,Resources (Processed),Plastics & Rubber
